Date;HH;MM;SS;EOG Left[uV];EEG C3-A1[uV];EEG O1-A1[uV];EEG C4-A1[uV];EEG O2-A1[uV]
2016/03/08;1;30;37,54;0,781249999999983;17,87109375;-1,85546875000002;29,00390625;-4,00390625000002
2016/03/08;1;30;37,545;2,63671874999998;16,9921875;-0,878906250000017;34,27734375;-3,61328125000002
2016/03/08;1;30;37,55;5,27343749999998;18,65234375;-3,12500000000002;35,05859375;-5,76171875000002
2016/03/08;1;30;37,555;5,07812499999998;19,23828125;-7,12890625000002;36,5234375;-8,88671875000002
2016/03/08;1;30;37,56;4,19921874999998;23,6328125;-3,32031250000002;39,2578125;-5,85937500000002
2016/03/08;1;30;37,565;3,12499999999998;27,9296875;-0,488281250000017;36,81640625;-6,54296875000002
2016/03/08;1;30;37,57;0,878906249999983;28,3203125;-0,976562500000017;30,6640625;-7,51953125000002
2016/03/08;1;30;37,575;-0,195312500000017;27,63671875;-0,976562500000017;23,14453125;-6,93359375000002
2016/03/08;1;30;37,58;-4,88281250000002;21,77734375;-3,61328125000002;12,01171875;-8,88671875000002
2016/03/08;1;30;37,585;-8,49609375000002;14,453125;-2,24609375000002;5,95703124999998;-6,64062500000002
2016/03/08;1;30;37,59;-11,62109375;3,22265624999998;-1,66533453693773E-014;1,95312499999998;-8,30078125000002
2016/03/08;1;30;37,595;-13,4765625;-4,49218750000002;-0,390625000000017;1,46484374999998;-9,57031250000002
2016/03/08;1;30;37,6;-12,40234375;-9,76562500000002;0,781249999999983;0,195312499999983;-11,5234375
2016/03/08;1;30;37,605;-8,10546875000002;-9,96093750000002;-0,292968750000017;0,0976562499999833;-13,28125
2016/03/08;1;42;49,3;-1,17187500000002;-21,58203125;-3,12500000000002;-17,96875;-16,11328125
2016/03/08;1;42;49,305;0,292968749999983;-22,75390625;-5,76171875000002;-15,4296875;-13,96484375
2016/03/08;1;42;49,31;0,781249999999983;-26,26953125;-10,9375;-13,671875;-15,0390625
2016/03/08;1;42;49,315;1,36718749999998;-28,515625;-15,0390625;-13,96484375;-19,140625
